project,platform_name,platform_id,chief_scientist,cruise_name,cruise_number,geographic_area,station,id,event_number,profile_direction,latitude,longitude,time,profile_start_time,profile_end_time,measurement_time,depth,PRESPR01,PSLTZZ01,PSALST01,TEMPPR01,CNDCST01,DOXYZZ01,DOXYZZ02,CPHLPR01,OPTCPS01,ScanNumber
,,,,,,,,,,,degrees_north,degrees_east,UTC,UTC,UTC,UTC,m,decibar,1e-3,1e-3,degree Celsius,S/m,ml/L,ml/L,mg/m^3,%,1
,M. Perley,9656151,Ryan Stanley,"Eastern Shore Water, St Anns Bank",PER2023767,"ScotiaFundy-6 ",,CTD_PER2023767_767A019_1_DN,NaN,downward,45.9963,-59.207,2023-08-16T13:19:34Z,2023-08-16T13:19:34Z,2023-08-16T13:25:52Z,2023-08-16T13:21:31Z,5.9506707,6.0,28.5497,28.5497,19.1399,3.920343,9.23777,6.2837,5.9735,NaN,472
,M. Perley,9656151,Ryan Stanley,"Eastern Shore Water, St Anns Bank",PER2023767,"ScotiaFundy-6 ",,CTD_PER2023767_767A019_1_DN,NaN,downward,45.9963,-59.207,2023-08-16T13:19:34Z,2023-08-16T13:19:34Z,2023-08-16T13:25:52Z,2023-08-16T13:21:36Z,7.9341893,8.0,28.5522,28.5522,19.1297,3.919871,9.23823,6.291,7.1459,NaN,491
,M. Perley,9656151,Ryan Stanley,"Eastern Shore Water, St Anns Bank",PER2023767,"ScotiaFundy-6 ",,CTD_PER2023767_767A019_1_DN,NaN,downward,45.9963,-59.207,2023-08-16T13:19:34Z,2023-08-16T13:19:34Z,2023-08-16T13:25:52Z,2023-08-16T13:21:40Z,9.917688,10.0,28.5454,28.5454,19.1245,3.918646,9.23903,6.2997,9.0546,NaN,508
,M. Perley,9656151,Ryan Stanley,"Eastern Shore Water, St Anns Bank",PER2023767,"ScotiaFundy-6 ",,CTD_PER2023767_767A019_1_DN,NaN,downward,45.9963,-59.207,2023-08-16T13:19:34Z,2023-08-16T13:19:34Z,2023-08-16T13:25:52Z,2023-08-16T13:21:45Z,11.901168,12.0,28.579,28.579,18.9843,3.911023,9.23799,6.3078,9.9476,NaN,528
,M. Perley,9656151,Ryan Stanley,"Eastern Shore Water, St Anns Bank",PER2023767,"ScotiaFundy-6 ",,CTD_PER2023767_767A019_1_DN,NaN,downward,45.9963,-59.207,2023-08-16T13:19:34Z,2023-08-16T13:19:34Z,2023-08-16T13:25:52Z,2023-08-16T13:21:51Z,13.884629,14.0,28.6701,28.6701,18.7885,3.905703,9.23387,6.34,10.5381,NaN,549
,M. Perley,9656151,Ryan Stanley,"Eastern Shore Water, St Anns Bank",PER2023767,"ScotiaFundy-6 ",,CTD_PER2023767_767A019_1_DN,NaN,downward,45.9963,-59.207,2023-08-16T13:19:34Z,2023-08-16T13:19:34Z,2023-08-16T13:25:52Z,2023-08-16T13:21:56Z,15.868071,16.0,28.8366,28.8366,18.4946,3.901117,9.22487,6.3992,10.924,NaN,571
,M. Perley,9656151,Ryan Stanley,"Eastern Shore Water, St Anns Bank",PER2023767,"ScotiaFundy-6 ",,CTD_PER2023767_767A019_1_DN,NaN,downward,45.9963,-59.207,2023-08-16T13:19:34Z,2023-08-16T13:19:34Z,2023-08-16T13:25:52Z,2023-08-16T13:22:01Z,17.851492,18.0,28.7292,28.7292,18.3321,3.874409,9.23228,6.4342,15.8418,NaN,590
,M. Perley,9656151,Ryan Stanley,"Eastern Shore Water, St Anns Bank",PER2023767,"ScotiaFundy-6 ",,CTD_PER2023767_767A019_1_DN,NaN,downward,45.9963,-59.207,2023-08-16T13:19:34Z,2023-08-16T13:19:34Z,2023-08-16T13:25:52Z,2023-08-16T13:25:52Z,25.784988,26.0,31.0031,31.0031,7.8766,3.237218,8.83294,8.0982,12.5152,NaN,1513
,M. Perley,9656151,Ryan Stanley,"Eastern Shore Water, St Anns Bank",PER2023767,"ScotiaFundy-6 ",,CTD_PER2023767_767A019_1_UP,NaN,upward,45.9963,-59.207,2023-08-16T13:19:34Z,2023-08-16T13:19:34Z,2023-08-16T13:27:30Z,2023-08-16T13:25:55Z,23.801643,24.0,31.0043,31.0043,8.0341,3.250458,8.83146,8.1435,12.7553,NaN,1526
,M. Perley,9656151,Ryan Stanley,"Eastern Shore Water, St Anns Bank",PER2023767,"ScotiaFundy-6 ",,CTD_PER2023767_767A019_1_UP,NaN,upward,45.9963,-59.207,2023-08-16T13:19:34Z,2023-08-16T13:19:34Z,2023-08-16T13:27:30Z,2023-08-16T13:25:59Z,21.81828,22.0,30.8629,30.8629,8.4022,3.267767,8.84187,8.2395,13.3519,NaN,1544
