filename,cruise_name,cruise_number,chief_scientist,serial_number,deployment_platform_name,inst_type,instrument,instrument_model,instrument_offbottom_depth,mooring_number,program,project,sdn_instrument_id,station,latitude,longitude,time,depth,PRESPR01,PSLTZZ01,TEMPPR01,TEMPP901,SIGTEQ01,POTM_01
,,,,,,,,,,,,,,,degrees_north,degrees_east,UTC,m,,1e-3,degree_C,degree_C,kg/m**3,degree_C
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-25T00:00:00Z,41.0,41.586,30.3624,NaN,-0.3658,24.37722493353931,-0.3668071246492171
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-25T02:00:00Z,41.0,41.416,30.366,NaN,-0.3695,24.380258027164246,-0.3705018819843687
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-25T04:00:00Z,41.0,41.089,30.3682,NaN,-0.374,24.382187109076767,-0.3749923951468504
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-25T06:00:00Z,41.0,40.871,30.3726,NaN,-0.3703,24.385615710707953,-0.3712887111197949
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-25T08:00:00Z,41.0,41.068,30.38,NaN,-0.3722,24.391657521275874,-0.3731934506004683
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-25T10:00:00Z,41.0,41.404,30.3845,NaN,-0.3823,24.395634323509285,-0.3832984055683907
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-25T12:00:00Z,41.0,41.696,30.3858,NaN,-0.379,24.39657318061927,-0.38000687252557735
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-25T14:00:00Z,41.0,41.577,30.3678,NaN,-0.3725,24.381813668234372,-0.3735048915295256
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-25T16:00:00Z,41.0,41.148,30.3681,NaN,-0.3797,24.38229894120559,-0.3806917815303325
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-25T18:00:00Z,41.0,40.83,30.3663,NaN,-0.3749,24.380682608300503,-0.37588556806885054
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-25T20:00:00Z,41.0,40.989,30.3695,NaN,-0.3914,24.38382353134375,-0.3923837950115248
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-25T22:00:00Z,41.0,41.323,30.3704,NaN,-0.3894,24.384483635318247,-0.3903927394994641
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-26T00:00:00Z,41.0,41.653,30.3757,NaN,-0.3832,24.388556463330133,-0.3842034828283095
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-26T02:00:00Z,41.0,41.62,30.375,NaN,-0.3864,24.38809880352528,-0.3874014525027186
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-26T04:00:00Z,41.0,41.304,30.3738,NaN,-0.389,24.38721667796358,-0.38999268794328196
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-26T06:00:00Z,41.0,40.982,30.3771,NaN,-0.3779,24.38950787416684,-0.37888906400783634
MCTD_SL2016001_2005_12982_7200.000000.nc,mooring deployment,SL2016001,Jim Hamilton,12982,"MV Service Leader, , ",MicroCat,"MicroCat,model number SBE37-SM V3.1,serial number 12982",SBE37-SM V3.1,6.000000,2005,'Strait of Canso Real Time Observatory Project',Strait of Canso Real Time Observatory Project',SDN:L22::TOOL1456,2005.0,45.650967,-61.425217,2017-04-26T08:00:00Z,41.0,41.028,30.3857,NaN,-0.3766,24.39641066609056,-0.37759133201180245
