station,latitude,longitude,sensor_serial_number,timestamp_utc,sensor_depth_at_low_tide_m,temperature_degree_c,qc_flag_temperature_degree_c
Church Point 2,44.32015,-66.135067,20495220,2020-05-16 13:15:00,2,6.687,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-05-16 13:30:00,2,6.712,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-05-16 13:45:00,2,6.737,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-05-16 14:00:00,2,6.737,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 19:00:00,2,2.074,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 19:15:00,2,2.074,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 19:30:00,2,2.128,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 19:45:00,2,2.155,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 20:00:00,2,2.155,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 20:15:00,2,2.155,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 20:30:00,2,2.128,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 20:45:00,2,2.128,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 21:00:00,2,2.128,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 21:15:00,2,2.128,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 21:30:00,2,2.101,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 21:45:00,2,2.128,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 22:00:00,2,2.155,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 22:15:00,2,2.182,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 22:30:00,2,2.209,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 22:45:00,2,2.182,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 23:00:00,2,2.209,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 23:15:00,2,2.182,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 23:30:00,2,2.155,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-23 23:45:00,2,2.155,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 00:00:00,2,2.128,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 00:15:00,2,2.101,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 00:30:00,2,2.101,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 00:45:00,2,2.101,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 01:00:00,2,2.101,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 01:15:00,2,2.074,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 01:30:00,2,2.074,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 01:45:00,2,2.074,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 02:00:00,2,2.074,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 02:15:00,2,2.074,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 02:30:00,2,2.101,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 02:45:00,2,2.101,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 03:00:00,2,2.101,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 03:15:00,2,2.074,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 03:30:00,2,2.074,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 03:45:00,2,2.074,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 04:00:00,2,2.047,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 04:15:00,2,2.047,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 04:30:00,2,2.047,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 04:45:00,2,2.021,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 05:00:00,2,2.047,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 05:15:00,2,2.101,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 05:30:00,2,2.155,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 05:45:00,2,2.155,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 06:00:00,2,2.128,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 06:15:00,2,2.128,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 06:30:00,2,2.101,Not Evaluated
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 06:45:00,2,2.101,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 07:00:00,2,2.074,Pass
