project,platform_name,platform_id,chief_scientist,cruise_name,cruise_number,geographic_area,station,id,event_number,profile_direction,latitude,longitude,time,profile_start_time,profile_end_time,measurement_time,depth,PRESPR01,PSLTZZ01,PSALST01,TEMPPR01,CNDCST01,DOXYZZ01,DOXYZZ02,CPHLPR01,OPTCPS01,ScanNumber
,,,,,,,,,,,degrees_north,degrees_east,UTC,UTC,UTC,UTC,m,decibar,0.001,0.001,degree Celsius,S/m,ml/L,ml/L,mg/m^3,%,1.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_DN,12.0,downward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,0.9919488,1.0,31.8418,31.8418,10.0223,3.4922137,6.50753,,0.0981,,3019.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,24.797274,25.0,32.0984,32.0984,10.0399,3.5201113,6.48451,,0.116,,4063.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,25.789103,26.0,32.1415,32.1415,10.0121,3.521961,6.47028,,0.1178,,4054.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,26.780926,27.0,32.1676,32.1676,10.0102,3.52441,6.4367,,0.1217,,4046.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,27.772745,28.0,32.2369,32.2369,10.0309,3.5331097,6.40485,,0.1221,,4039.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,28.764559,29.0,32.2708,32.2708,10.0441,3.5376608,6.38573,,0.1214,,4031.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,29.756369,30.0,32.3134,32.3134,10.0648,3.5437362,6.37258,,0.1178,,4023.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,30.748173,31.0,32.333,32.333,10.075,3.546609,6.36939,,0.1157,,4015.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,32.731766,33.0,32.3531,32.3531,10.0837,3.5494475,6.35868,,0.1057,,3999.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,33.723557,34.0,32.3562,32.3562,10.0846,3.5498714,6.36082,,0.105,,3991.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,34.715343,35.0,32.3589,32.3589,10.0857,3.550274,6.35648,,0.1041,,3983.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,35.707123,36.0,32.3619,32.3619,10.0875,3.5507705,6.35672,,0.1052,,3975.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,36.6989,37.0,32.3694,32.3694,10.0911,3.551875,6.35192,,0.105,,3968.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,37.690666,38.0,32.3776,32.3776,10.0963,3.553181,6.34831,,0.1073,,3959.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,38.682434,39.0,32.3831,32.3831,10.0995,3.5540586,6.34974,,0.1109,,3950.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,39.674194,40.0,32.3857,32.3857,10.1011,3.554491,6.34538,,0.1129,,3940.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,40.66595,41.0,32.3889,32.3889,10.1032,3.5550435,6.34089,,0.1158,,3929.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,41.657703,42.0,32.3914,32.3914,10.1047,3.5554628,6.34099,,0.1242,,3919.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,42.64945,43.0,32.393,32.393,10.1063,3.5558054,6.33923,,0.1276,,3909.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,43.64119,44.0,,,10.1068,,6.33497,,,,3898.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,23.80544,24.0,32.0575,32.0575,10.0739,3.5190024,6.48407,,0.1154,,4070.0
,,,Mike Power,Bay of Fundy,VIC2009057,,,CTD_VIC2009057_012_13_UP,12.0,upward,44.2673,-66.2497,2009-10-29T13:00:00Z,2009-10-29T13:00:00Z,,,22.813602,23.0,32.0148,32.0148,10.1098,3.517881,6.4615,,0.1138,,4077.0
